"CodeRégion","Région","Inscrits","Abstentions","Abstentions_ins","Votants","Votants_ins","Blancs","Blancs_ins","Blancs_vot","Nuls","Nuls_ins","Nuls_vot","Exprimés","Exprimés_ins","Exprimés_vot","MACRON","LE PEN","MACRON.ins","LE PEN.ins","MACRON.exp","LE PEN.exp"
"44","Grand Est",3863947,1016665,26.31156690296218,2847282,73.68843309703782,158617,4.1050511303597075,5.570821576506998,52605,1.3614317173605124,1.847551454334344,2636060,68.2219502493176,92.58162696915866,1372526,1263534,35.521346436687665,32.700603812629936,52.067327754299974,47.93267224570002
"75","Nouvelle-Aquitaine",4462864,1079365,24.1854782041308,3383499,75.8145217958692,249967,5.601044531045535,7.3878254434241,102317,2.2926309204134387,3.0239997115412183,3031215,67.92084634441022,89.58817484503469,1768081,1263134,39.61763118929907,28.303215155111154,58.329118851681585,41.670881148318415
"84","Auvergne-Rhône-Alpes",5559227,1422924,25.595716814585913,4136303,74.40428318541409,277051,4.9836245218984585,6.698034452505051,88468,1.5913723256848478,2.1388181668509296,3770784,67.82928633783078,91.16314738064402,2253507,1517277,40.536337156226935,27.29294918160384,59.762293464701244,40.23770653529876
"27","Bourgogne-Franche-Comté",1992678,501648,25.17456407909356,1491030,74.82543592090643,101415,5.089382228337945,6.801674010583287,38059,1.9099422987557446,2.5525308008557843,1351556,67.82611139381275,90.64579518856092,714587,636969,35.86063578761847,31.96547560619428,52.87143115046658,47.12856884953342
"53","Bretagne",2562764,566267,22.095947968677567,1996497,77.90405203132244,142749,5.570118824831314,7.1499731780213045,47891,1.8687245489635411,2.3987514131000447,1805857,70.46520865752758,90.45127540887864,1202339,603518,46.91571287875122,23.549495778776354,66.57996729530633,33.42003270469367
"24","Centre-Val de Loire",1837659,464338,25.26790879047745,1373321,74.73209120952255,89554,4.87326538819226,6.520980892304131,31950,1.7386250659126639,2.326477203800131,1251817,68.12020075541763,91.15254190389574,706528,545289,38.44717654363514,29.67302421178249,56.440198527420534,43.55980147257946
"11","Île-de-France",7353133,2160142,29.377164808524476,5192991,70.62283519147552,319854,4.349900919784805,6.159340541895798,84456,1.1485716360631584,1.6263459728699703,4788681,65.12436263562756,92.21431348523423,3496396,1292285,47.54974512224925,17.57461751337831,73.01375890354777,26.98624109645224
"76","Occitanie",4324602,1072827,24.807531421388603,3251775,75.1924685786114,238269,5.509616838728744,7.327351984685287,95998,2.219811210372654,2.9521722751420376,2917508,67.46304052951,89.72047574017267,1574375,1343133,36.40508421352994,31.05795631598006,53.96300541420966,46.03699458579034
"32","Hauts-de-France",4256336,1136454,26.700288699012486,3119882,73.29971130098751,160852,3.7791189417376825,5.1557078120262245,67080,1.5760033982279593,2.1500813171780218,2891950,67.94458896102188,92.69421087079576,1384151,1507799,32.51977757395093,35.424811387070946,47.862203703383535,52.137796296616465
"28","Normandie",2414348,583686,24.17571949031374,1830662,75.82428050968626,115856,4.798645431395971,6.328639585024434,37683,1.5607940528871564,2.058435691569498,1677123,69.46484102540313,91.61292472340607,936550,740573,38.791011072140385,30.673829953262743,55.84265435510694,44.15734564489307
"52","Pays de la Loire",2833690,668962,23.607451767836285,2164728,76.39254823216372,143998,5.081642663805851,6.652013555513673,46441,1.6388878105932547,2.145350362724555,1974289,69.67201775776462,91.20263608176178,1281656,692633,45.22922408590919,24.442793671855426,64.91734492771828,35.08265507228172
"93","Provence-Alpes-Côte d'Azur",3664766,1008065,27.506940415841015,2656701,72.493059584159,155054,4.230938619273372,5.836336117613537,49657,1.3549841927151691,1.869122644964563,2451990,66.90713677217045,92.2945412374219,1214177,1237813,33.13109213521409,33.77604463695636,49.51802413549811,50.48197586450189
"94","Corse",243009,95108,39.13764510779436,147901,60.86235489220564,9357,3.8504746737775144,6.3265292323919375,4701,1.9344962532251893,3.1784774950811694,133843,55.077383965202934,90.4949932725269,56111,77732,23.090091313490447,31.98729265171249,41.92299933504181,58.0770006649582
"01","Guadeloupe",315941,166884,52.82125460133379,149057,47.17874539866621,8511,2.693857397425469,5.7098962141999365,8211,2.598902959729823,5.50863092642412,132335,41.885985041510914,88.78147285937594,40229,92106,12.733073580193771,29.152911461317142,30.39936524728908,69.60063475271092
"02","Martinique",304670,166201,54.551153707289856,138469,45.448846292710144,11198,3.675452128532511,8.087008644534157,7353,2.4134309252633996,5.310213838476482,119918,39.35996323891423,86.60277751698936,46918,73000,15.39961269570355,23.960350543210687,39.125068797011295,60.87493120298871
"03","Guyane",103058,62970,61.10151565138078,40088,38.89848434861922,3064,2.9730831182440953,7.643184993015366,1217,1.1808884317568749,3.0358211933745762,35807,34.74451279861825,89.32099381361006,14073,21734,13.655417337809778,21.089095460808476,39.30237104476778,60.69762895523222
"04","La Réunion",676058,274522,40.60627934289662,401536,59.39372065710339,20485,3.030065467755725,5.1016596270321966,16760,2.479077238935121,4.173971947720752,364291,53.884577950412535,90.72436842524705,147270,217021,21.783633948566543,32.100944001845996,40.426472243343916,59.57352775665608
"06","Mayotte",92421,50380,54.511420564590296,42041,45.488579435409704,1595,1.7257982493156316,3.79391546347613,2045,2.2127005767087566,4.86429913655717,38401,41.55008060938531,91.3417853999667,15707,22694,16.995055236364028,24.555025373021284,40.90258066196193,59.09741933803807
