"CodeRégion","Région","Inscrits","Abstentions","Abstentions_ins","Votants","Votants_ins","Blancs","Blancs_ins","Blancs_vot","Nuls","Nuls_ins","Nuls_vot","Exprimés","Exprimés_ins","Exprimés_vot","ARTHAUD","ROUSSEL","MACRON","LASSALLE","LE PEN","ZEMMOUR","MÉLENCHON","HIDALGO","JADOT","PÉCRESSE","POUTOU","DUPONT-AIGNAN","ARTHAUD.ins","ROUSSEL.ins","MACRON.ins","LASSALLE.ins","LE PEN.ins","ZEMMOUR.ins","MÉLENCHON.ins","HIDALGO.ins","JADOT.ins","PÉCRESSE.ins","POUTOU.ins","DUPONT-AIGNAN.ins","ARTHAUD.exp","ROUSSEL.exp","MACRON.exp","LASSALLE.exp","LE PEN.exp","ZEMMOUR.exp","MÉLENCHON.exp","HIDALGO.exp","JADOT.exp","PÉCRESSE.exp","POUTOU.exp","DUPONT-AIGNAN.exp"
"44","Grand Est",3862920,1008344,26.10315512617398,2854576,73.89684487382601,42255,1.0938616383461215,1.480254860967093,18647,0.4827177368415603,0.653231863506174,2793674,72.32026549863834,97.86651327552673,18655,47422,762241,77439,825196,200256,492408,40030,111953,120917,22241,74916,0.48292483406335107,1.227620556470235,19.73224917937726,2.0046752197819266,21.361974879106995,5.184057655866547,12.747041098443665,1.0362627235355637,2.8981444088927546,3.1301968459093126,0.5757561637310635,1.9393619334596626,0.6677586575956965,1.6974779448138904,27.284536420498597,2.7719411785340737,29.538020542124816,7.168195000561985,17.625821767321455,1.432880142779723,4.007375234189816,4.328243023344886,0.796120091320605,2.6816299969144577
"75","Nouvelle-Aquitaine",4463041,962499,21.5659905432193,3500542,78.4340094567807,53440,1.1973898514488217,1.5266207347319358,27129,0.6078590808374829,0.7749942723155443,3419973,76.6287605244944,97.69838499295253,18494,96771,945122,201726,779699,210476,681218,77306,151714,157205,32597,67645,0.41438113609084026,2.168274949748389,21.17663718527345,4.519922626747099,17.470128551362176,4.7159772899240675,15.263538918867203,1.7321373476067103,3.3993413907692087,3.522374094255464,0.7303764406376728,1.515670593212117,0.5407645031115743,2.8295837423277903,27.635364372759668,5.898467619481206,22.798396361608702,6.154317592565789,19.918812224540954,2.2604272022030583,4.436116893320503,4.596673716429925,0.9531361797300739,1.9779395919207547
"84","Auvergne-Rhône-Alpes",5557535,1228490,22.104944008449788,4329045,77.89505599155021,70067,1.260756792354884,1.6185324938872199,25512,0.45905243961576486,0.5893216633229731,4233466,76.17524675957957,97.79214584278981,23136,96403,1174972,136414,943122,312881,897349,77566,224710,217881,30586,98446,0.41629967242671434,1.734635949211296,21.141963118540865,2.4545774340602446,16.97014953572042,5.629852083702577,16.14652899172025,1.3956907153981037,4.043339358186678,3.9204611396959264,0.5503519096146043,1.7713968513018812,0.5465025584237597,2.277164857353289,27.75437431173417,3.222276971162636,22.277774287073523,7.390658151028023,21.196556202411923,1.832210297661538,5.3079438927819425,5.146633987375829,0.7224812954680633,2.3254231875253044
"27","Bourgogne-Franche-Comté",1992409,456682,22.921097023753656,1535727,77.07890297624634,26392,1.3246276241474517,1.7185346093413738,11621,0.5832637776681394,0.756710014214766,1497714,75.17101157443076,97.52475537644386,10643,33932,394119,49557,409643,107057,277901,26543,60235,76655,12738,38691,0.534177470589623,1.7030639793335607,19.781028895171623,2.4872905111350128,20.560186186671512,5.373244148164358,13.947989594505946,1.332206389350781,3.023224649155871,3.8473526268953813,0.6393265639735617,1.9419205594835196,0.7106163125937262,2.265586086529204,26.31470360829905,3.308842676238587,27.35121658741255,7.148026926369119,18.55501117035696,1.7722342182819952,4.021795883593263,5.11813336858706,0.8504961561419604,2.5833370055965292
"53","Bretagne",2562061,543414,21.21003364088521,2018647,78.7899663591148,31884,1.244466856956177,1.5794737762471596,13245,0.5169666139877233,0.6561325481869786,1973518,77.02853288817089,97.76439367556587,12965,51193,647172,58653,385393,96984,407527,43596,122198,92808,19913,35116,0.5060379124462688,1.9981179214702538,25.259820121378844,2.289289755396144,15.04230383273466,3.7853899653443066,15.906217689586628,1.7015988300044378,4.7695195391522685,3.622396188068902,0.777225834982071,1.370615297606107,0.6569486571695825,2.5939971158104465,32.79280959180509,2.97200228221886,19.528223203436706,4.91426984704472,20.64977365293856,2.20905003146665,6.19188677275809,4.702668027350143,1.0090103054545234,1.7793605125466299
"24","Centre-Val de Loire",1837328,459528,25.01066766521819,1377800,74.9893323347818,23216,1.2635740597215086,1.6850050805632166,9311,0.5067685247272126,0.675787487298592,1345273,73.2189897503331,97.63920743213819,9256,33590,383851,38659,347845,88575,251259,23162,54401,71690,11226,31759,0.5037750472425174,1.828198340198375,20.89180592686771,2.104088110560553,18.932112284796183,4.82085942194317,13.675239260491324,1.2606350091001715,2.960875793543668,3.9018618341417537,0.6109959680579624,1.728542753389705,0.6880387846927725,2.4968909656255645,28.533316285988047,2.873691808279806,25.856833520036453,6.584165444485988,18.67717556213497,1.7217323175296018,4.043863215867709,5.3290298697736445,0.8344774629387492,2.3607847626466896
"11","Île-de-France",7349284,1760727,23.957803236342478,5588557,76.04219676365751,76616,1.042496112546474,1.3709442347997882,27967,0.3805404716976511,0.5004332961084588,5483974,74.61916017941338,98.12862246909175,21894,105137,1655780,87343,711462,409396,1658601,78522,296087,339371,33050,87331,0.2979065715789457,1.4305747335386687,22.52981378866295,1.1884559094464169,9.680698146921523,5.570556260990866,22.568198480287332,1.0684306117439468,4.028787021973841,4.617742354221173,0.4497036718134719,1.1882926282342605,0.39923602847132383,1.9171680974417455,30.19306801965144,1.5926953701822801,12.973475074827123,7.465316210470728,30.244508817875506,1.431844862867694,5.399132089247688,6.188413730626731,0.6026651475736391,1.5924765507640992
"76","Occitanie",4323929,940541,21.751999165573718,3383388,78.24800083442628,47891,1.1075806286365941,1.4154746662221418,24876,0.5753100941296677,0.7352393517976655,3310621,76.56511011166002,97.84928598198019,14875,83452,777444,184956,815338,260127,741948,77124,139122,129101,23891,63243,0.3440158244966557,1.930003938547557,17.980036212435497,4.27749854356998,18.856415079896085,6.015986848997752,17.159116164950905,1.7836555595616859,3.2174903889494946,2.9857335770314455,0.5525298865915698,1.4626280866313948,0.4493114735875837,2.5207355357197336,23.483328354408435,5.586746414041353,24.62794744550947,7.857347609406211,22.411142803721717,2.329593148838239,4.202293164937938,3.899600709353321,0.7216470867550226,1.9103062537209787
"32","Hauts-de-France",4255350,1146209,26.935716216057433,3109141,73.06428378394256,42945,1.009200183298671,1.3812496763575535,24270,0.5703408650287285,0.7806014587308843,3041926,71.48474273561517,97.83814886491157,20943,94776,772619,62487,1014182,179416,577487,40814,95164,107527,21125,55386,0.49215693186224396,2.2272198526560683,18.15641486599222,1.4684338538545596,23.833104209994477,4.216245432220616,13.570846111365691,0.9591220463651638,2.2363377865510476,2.5268661802201935,0.4964339008542188,1.3015615636786633,0.6884782864540426,3.1156576458467433,25.39900707643776,2.0541919823164667,33.34012727462798,5.89810534510044,18.984255369788748,1.3417157419345507,3.128412722728955,3.534832865756761,0.6944613379812659,1.8207543510262905
"28","Normandie",2413749,590804,24.476612936970664,1822945,75.52338706302933,28947,1.1992547692407123,1.5879250333937667,10533,0.4363751160539062,0.5778013050311446,1783465,73.88775717773471,97.83427366157508,12839,46358,521769,45488,484106,99446,335590,30235,73269,79800,16005,38560,0.5319111473479637,1.9205808060407275,21.61653925076717,1.8845372903313475,20.05618645517823,4.1199809922241295,13.903268318288273,1.2526157442219552,3.0354854626558105,3.306060406446569,0.6630764010673852,1.5975149031651592,0.7198907744194587,2.599322106124875,29.255914750219375,2.5505406610166164,27.14412674204428,5.575999529006737,18.816741567678648,1.6952953940783813,4.108238737513773,4.4744359995850775,0.8974103781122702,2.1620833602005085
"52","Pays de la Loire",2832949,652018,23.015521987864943,2180931,76.98447801213506,38934,1.3743275999673839,1.7852009073189388,14554,0.5137402755926774,0.6673296862670116,2127443,75.096410136575,97.54746940641404,13853,45058,707890,54592,442025,114388,408969,43291,127935,106786,18441,44215,0.48899574259896667,1.590498099330415,24.987742454947124,1.927037867607218,15.602998853844527,4.037771241204837,14.43615822240358,1.5281249327114608,4.515965518616819,3.7694289590105576,0.650947122592041,1.5607411217074505,0.6511572812996634,2.117941585273965,33.274216982546655,2.5660852018126925,20.77728992034099,5.376783302772389,19.223499760040575,2.03488413085568,6.013557119979242,5.019452930113756,0.8668152331225796,2.078316551841812
"93","Provence-Alpes-Côte d'Azur",3663871,959575,26.190196106795245,2704296,73.80980389320474,35917,0.980301981155996,1.3281460313515976,15471,0.4222583164090657,0.5720897416554993,2652908,72.4072435956397,98.0997642269929,9457,54718,619272,72830,732078,310717,524211,29501,107625,116094,16219,60186,0.25811498276003714,1.4934477769550294,16.902123464499706,1.987788325516919,19.980998239293903,8.4805660461299,14.30757251005835,0.8051866454905209,2.9374669577613406,3.168615925615285,0.44267388235011546,1.6426888392085857,0.35647674174905425,2.0625668134741195,23.343138925285007,2.7452893202478186,27.595302965651282,11.712317200596479,19.75986351580982,1.1120249929511314,4.056868915167809,4.37610350603941,0.6113668472483781,2.2686802557796955
"94","Corse",243032,90629,37.29097402811152,152403,62.70902597188848,2593,1.0669376872181442,1.701410077229451,2438,1.0031600776852432,1.5997060425319711,147372,60.638928206985085,96.69888388023857,454,4537,26705,15330,42137,18856,19698,1583,4786,9327,1370,2589,0.18680667566411008,1.8668323512953027,10.988264919845946,6.30781131702821,17.338046018631292,7.758649066789558,8.10510550051022,0.6513545541327891,1.9692879949965436,3.8377662200862437,0.5637117745811251,1.0652918134237468,0.30806394701842954,3.078603805336156,18.12080992318758,10.402247373992346,28.592269902016664,12.794832125505524,13.366175392883314,1.0741524848682247,3.2475639877317266,6.328882012865401,0.9296202806503271,1.7567787639443042
"01","Guadeloupe",316023,174592,55.24661179724261,141431,44.75338820275739,2719,0.8603804153495157,1.922492240032242,3627,1.1477012749072062,2.564501417652424,135085,42.745306512500676,95.51300634231534,1084,668,18137,1033,24204,3098,75862,2266,1927,3979,713,2114,0.34301300854684624,0.21137702002702335,5.739139239865453,0.3268749426465795,7.658936216667773,0.9803083952750276,24.005214810314442,0.7170364182353817,0.6097657448983144,1.259085572885518,0.22561648993902345,0.6689386531992925,0.8024577118110819,0.4945034607839509,13.426361179997778,0.7647037050745826,17.917607432357403,2.293370840581856,56.15871488322167,1.6774623385275937,1.4265092349261577,2.945552800088833,0.5278158196690972,1.5649405929599882
"02","Martinique",304594,174588,57.31826628232992,130006,42.68173371767008,4001,1.3135518099502945,3.077550266910758,3056,1.0033027571127469,2.3506607387351353,122949,40.36487915060704,94.57178899435411,1447,747,20043,1162,16495,3153,65292,3935,1978,4731,977,2989,0.47505860259886934,0.24524448938587104,6.580234673040178,0.38149142793357715,5.415405424926295,1.035148427086548,21.435747257004405,1.291883622133069,0.6493890227647294,1.5532150994438498,0.3207548408701419,0.9813062634195027,1.1769107516124573,0.6075689920210819,16.301881267842763,0.945107320921683,13.416131892085337,2.5644779542737233,53.10494595320011,3.2005140342743736,1.6087971435310575,3.847936949466852,0.794638427315391,2.4310893134551725
"03","Guyane",102993,65754,63.8431738079287,37239,36.15682619207131,825,0.8010253123998717,2.215419318456457,553,0.5369296942510656,1.4850022825532372,35861,34.81887118542037,96.2995783989903,297,246,5101,516,6334,1573,18143,535,940,997,462,717,0.28836911246395386,0.23885118406105268,4.952763780062723,0.5010049226646471,6.1499325196858035,1.5272882623090889,17.615760294388938,0.5194527783441593,0.912683386249551,0.9680269532880875,0.4485741749439282,0.6961638169584341,0.8281977635871839,0.6859819860015058,14.224366303226347,1.4388890438080364,17.6626418672095,4.386380747887678,50.59256573994032,1.4918713923203482,2.621231979030144,2.7801790245670785,1.2883076322467304,1.9993865201751206
"04","La Réunion",675539,313159,46.356909075567806,362380,53.643090924432194,7361,1.0896484140812004,2.0312931177217286,8253,1.2216911236804981,2.2774435675258013,346766,51.3317513866705,95.69126331475248,3538,3074,62542,4844,85770,13070,139604,5549,7994,9738,2705,8338,0.5237299400922818,0.45504404630968753,9.258088726187532,0.7170570462993254,12.696528253735165,1.9347513615054053,20.665572231951078,0.8214181564646896,1.1833513683147827,1.4415155897734995,0.4004209971593054,1.2342736688777407,1.0202845723052432,0.8864767595438999,18.03579358991366,1.3969074246033348,24.734258837371602,3.7691123120490473,40.25884890675556,1.600214553906669,2.305300981065041,2.8082337945473315,0.7800649429298143,2.4045033250087955
"06","Mayotte",92187,55024,59.68737457559092,37163,40.312625424409084,922,1.0001410177139944,2.480962247396604,1191,1.2919392105177518,3.2048004735893225,35050,38.02054519617734,94.31423727901407,430,206,5936,359,14958,482,8398,318,295,2810,328,530,0.4664432078275679,0.2234588390987883,6.439085771312659,0.3894258409537137,16.2257151225227,0.5228502934253203,9.109744324037012,0.34495102346317813,0.3200017356026338,3.0481521255708506,0.35579853992428434,0.5749183724386302,1.2268188302425107,0.5877318116975749,16.9358059914408,1.0242510699001426,42.67617689015692,1.3751783166904423,23.96005706134094,0.9072753209700428,0.8416547788873038,8.017118402282454,0.9358059914407989,1.5121255349500713
