CodeCirco,Département,NumeroCirco,Circonscription,Inscrits,Abstentions,Abstentions_ins,Votants,Votants_ins,Blancs,Blancs_ins,Blancs_vot,Nuls,Nuls_ins,Nuls_vot,Exprimés,Exprimés_ins,Exprimés_vot,LE PEN,MACRON,MÉLENCHON,FILLON,LASSALLE,HAMON,DUPONT-AIGNAN,POUTOU,ASSELINEAU,ARTHAUD,CHEMINADE,LE PEN.ins,MACRON.ins,MÉLENCHON.ins,FILLON.ins,LASSALLE.ins,HAMON.ins,DUPONT-AIGNAN.ins,POUTOU.ins,ASSELINEAU.ins,ARTHAUD.ins,CHEMINADE.ins,LE PEN.exp,MACRON.exp,MÉLENCHON.exp,FILLON.exp,LASSALLE.exp,HAMON.exp,DUPONT-AIGNAN.exp,POUTOU.exp,ASSELINEAU.exp,ARTHAUD.exp,CHEMINADE.exp
0101,Ain,01,1ère circonscription,82653,16001,19.3592489080856,66652,80.6407510919144,1358,1.6430135627261,2.03744823861249,404,0.488790485523817,0.606133349336854,64890,78.5089470436645,97.3564184120507,16500,14403,10221,13460,732,3712,4106,614,622,401,119,19.9629777503539,17.4258647598998,12.3661573082647,16.2849503345311,0.885630285652063,4.49106505510992,4.96775676623958,0.742864747801048,0.752543767316371,0.48516085320557,0.143975415290431,25.4276467868701,22.1960240406842,15.7512713823393,20.7427955000771,1.12806287563569,5.72044999229465,6.32763137617507,0.946216674372014,0.958545230389891,0.617968870396055,0.183387270765912
0102,Ain,02,2ème circonscription,93334,16744,17.9398718580582,76590,82.0601281419419,1397,1.49677502303555,1.82399791095443,437,0.468210941350419,0.570570570570571,74756,80.0951421775559,97.605431518475,19319,17395,11711,15714,598,3625,4507,588,788,382,129,20.6987807229948,18.6373668759509,12.5474103756402,16.8363083120835,0.640709709216363,3.88390082927979,4.82889407932801,0.629995500032143,0.844279683716545,0.409282790837208,0.138213298476439,25.8427417197282,23.2690352613837,15.6656321900583,21.0203863235058,0.799935791107068,4.84910910161057,6.02894750923003,0.78655893841297,1.05409599229493,0.510995772914549,0.172561399753866
0103,Ain,03,3ème circonscription,75427,16689,22.1260291407586,58738,77.8739708592414,964,1.27805692921633,1.64118628485818,328,0.434857544380659,0.558411930947598,57446,76.1610563856444,97.8004017841942,10700,14550,9695,13888,614,3238,2979,592,812,272,106,14.1859016002227,19.2901746059104,12.8534874779588,18.4125048059713,0.814032110517454,4.29289246556273,3.94951409972556,0.784864836199239,1.07653757938139,0.36061357338884,0.140533230805945,18.6261880722766,25.3281342478153,16.8767190056749,24.1757476586708,1.0688298576054,5.63659784841416,5.18573965115065,1.03053302231661,1.41350137520454,0.473488145388713,0.184521115482366
0104,Ain,04,4ème circonscription,89279,16018,17.941509201492,73261,82.0584907985081,1469,1.64540373436082,2.00515963473062,589,0.659729611666797,0.803974829718404,71203,79.7533574524804,97.190865535551,19428,15692,9739,15749,699,3321,4818,637,570,414,136,21.7609964269313,17.576361742403,10.908500319224,17.6402065435321,0.782938877003551,3.71979972893962,5.3965658217498,0.713493654722835,0.638448011290449,0.463714871358326,0.15233145532544,27.2853671895847,22.0383972585425,13.6777944749519,22.1184500653062,0.981700209260846,4.6641293203938,6.76656882434729,0.894625226465177,0.8005280676376,0.581436175442046,0.191003188067919
0105,Ain,05,5ème circonscription,75216,16078,21.3757711125293,59138,78.6242288874708,1154,1.53424803233355,1.95136798674287,481,0.63949159753244,0.813351821164057,57503,76.4504892576048,97.2352801920931,15508,11652,10370,10993,822,2815,3378,667,820,373,105,20.6179536268879,15.4913848117422,13.7869602212295,14.6152414379919,1.09285258455648,3.74255477557966,4.4910657306956,0.88677940863646,1.09019357583493,0.495905126568815,0.139597957881302,26.9690277029025,20.2632906109247,18.0338417126063,19.1172634471245,1.4294906352712,4.89539676190807,5.87447611428969,1.15993948141836,1.42601255586665,0.648661808949098,0.182599168739022
0201,Aisne,01,1ère circonscription,72292,14556,20.1350080230178,57736,79.8649919769822,943,1.30443202567366,1.63329638353887,444,0.614175842416865,0.769017597339615,56349,77.9463841088917,97.5976860191215,20175,10470,9282,8761,466,2583,2859,627,421,608,97,27.9076522990096,14.4829303380734,12.8395949759309,12.1189066563382,0.644607978752836,3.57300946162784,3.95479444475184,0.867315885575167,0.582360427156532,0.841033586012284,0.134178055663144,35.8036522387265,18.5806314220306,16.4723420113933,15.5477470762569,0.826988943903175,4.58393227918863,5.07373688974072,1.11270830005856,0.747129496530551,1.07898986672346,0.172141475447657
0202,Aisne,02,2ème circonscription,73948,16219,21.932979931844,57729,78.067020068156,1024,1.3847568561692,1.77380519323044,425,0.574728187374912,0.736198444455993,56280,76.1075350246119,97.4899963623136,18356,10920,10080,9824,399,2398,2773,614,343,481,92,24.8228484881268,14.7671336614919,13.6312003029156,13.2850110888733,0.539568345323741,3.24281927841186,3.74993238491913,0.830313193054579,0.463839454751988,0.650457077946665,0.124411748796452,32.6154939587775,19.4029850746269,17.910447761194,17.455579246624,0.708955223880597,4.26083866382374,4.9271499644634,1.090973702914,0.609452736318408,0.854655294953802,0.163468372423596
0203,Aisne,03,3ème circonscription,68126,14338,21.0462965681238,53788,78.9537034318762,1004,1.4737398350116,1.86658734290176,503,0.738337785867364,0.935152822190823,52281,76.7416258109973,97.1982598349074,20901,7977,7987,8651,443,2108,2625,593,354,543,99,30.6799166250771,11.7091859202067,11.7238646038223,12.6985291959017,0.650265684173443,3.09426650617973,3.853154449109,0.870445938408244,0.519625399994129,0.797052520329977,0.145318967794968,39.9781947552648,15.257933092328,15.2770604999904,16.5471203687764,0.84734415944607,4.03205753524225,5.02094451139037,1.13425527438266,0.677110231250359,1.03861823607047,0.189361335858151
0204,Aisne,04,4ème circonscription,79155,18629,23.5348367127787,60526,76.4651632872213,980,1.23807719032278,1.61913888246373,477,0.602615122228539,0.788091068301226,59069,74.62447097467,97.592770049235,20974,10746,10755,8990,431,2508,2891,630,503,532,109,26.4973785610511,13.5758953951109,13.5872654917567,11.3574632051039,0.544501294927674,3.16846693196892,3.65232771145221,0.795906765207504,0.635462068094245,0.672099046175226,0.137704503821616,35.5076266738899,18.192283600535,18.2075200189609,15.2194890721021,0.72965514906296,4.24588193468655,4.894276185478,1.06654928981361,0.85154649647023,0.900641622509269,0.184529956491561
0205,Aisne,05,5ème circonscription,82231,16441,19.993676350768,65790,80.006323649232,1096,1.33283068429181,1.66590667274662,474,0.576424949228393,0.72047423620611,64220,78.0970680157119,97.6136190910473,22381,11580,10855,10759,526,2634,3504,692,550,600,139,27.2172295119845,14.0822804052,13.2006177718865,13.0838734783719,0.639661441548808,3.20317155330715,4.26116671328331,0.841531782417823,0.66884751492746,0.729651834466321,0.169036008318031,34.850513858611,18.0317658050452,16.9028340080972,16.7533478667082,0.819059483027094,4.10152600436001,5.4562441606976,1.07754593584553,0.856431018374338,0.934288383681096,0.216443475552787
