"CodeCirco","Département","NumeroCirco","Circonscription","Inscrits","Abstentions","Abstentions_ins","Votants","Votants_ins","Blancs","Blancs_ins","Blancs_vot","Nuls","Nuls_ins","Nuls_vot","Exprimés","Exprimés_ins","Exprimés_vot","ARTHAUD","ROUSSEL","MACRON","LASSALLE","LE PEN","ZEMMOUR","MÉLENCHON","HIDALGO","JADOT","PÉCRESSE","POUTOU","DUPONT-AIGNAN","ARTHAUD.ins","ROUSSEL.ins","MACRON.ins","LASSALLE.ins","LE PEN.ins","ZEMMOUR.ins","MÉLENCHON.ins","HIDALGO.ins","JADOT.ins","PÉCRESSE.ins","POUTOU.ins","DUPONT-AIGNAN.ins","ARTHAUD.exp","ROUSSEL.exp","MACRON.exp","LASSALLE.exp","LE PEN.exp","ZEMMOUR.exp","MÉLENCHON.exp","HIDALGO.exp","JADOT.exp","PÉCRESSE.exp","POUTOU.exp","DUPONT-AIGNAN.exp"
"0101","Ain","01","1ère circonscription",85723,18592,21.688461673063237,67131,78.31153832693676,1154,1.3461964700255473,1.7190269771044673,393,0.45845339057195855,0.585422532064173,65584,76.50688846633925,97.69555049083137,317,1275,17825,2449,17846,4974,10740,1361,2868,3739,437,1753,0.3697957374333609,1.4873487862067356,20.793719305203968,2.8568762175845457,20.818216814623845,5.802410088307688,12.528726246164974,1.5876719200214644,3.345659857914445,4.361723224805479,0.509781505546936,2.04495876252581,0.4833495974627958,1.9440717248109294,27.17888509392535,3.7341424737740914,27.210905098804588,7.584166869968286,16.375945352525008,2.075201268602098,4.3730178092217615,5.70108563064162,0.6663210539155892,2.6729080263478897
"0102","Ain","02","2ème circonscription",99383,19917,20.040650815531833,79466,79.95934918446817,1367,1.3754867532676616,1.7202325522865123,352,0.35418532344565973,0.44295673621423004,77747,78.22967710775485,97.83681071149925,354,1435,22050,2004,20576,6722,13231,1209,3857,3959,467,1883,0.3561977400561464,1.4439089180242095,22.1868931306159,2.0164414437076763,20.7037420886872,6.763732227845809,13.313142086674784,1.216505841039212,3.8809454333236064,3.9835786804584288,0.4698992785486451,1.894690238773231,0.4553230349724105,1.8457303818796869,28.36122294107811,2.5775914183183914,26.465329851955705,8.645992771425263,17.0180199879095,1.555043924524419,4.96096312397906,5.092157896767721,0.6006662636500444,2.4219584035396866
"0103","Ain","03","3ème circonscription",81500,20440,25.079754601226995,61060,74.920245398773,851,1.0441717791411043,1.3937111038322962,290,0.3558282208588957,0.4749426793318048,59919,73.52024539877301,98.13134621683591,275,800,18497,1854,11720,4834,12097,938,3744,2916,424,1820,0.3374233128834356,0.98159509202454,22.69570552147239,2.274846625766871,14.38036809815951,5.931288343558283,14.842944785276075,1.150920245398773,4.593865030674847,3.5779141104294476,0.5202453987730061,2.233128834355828,0.4589529197750296,1.335135766618268,30.870007843922632,3.094177139137836,19.559738980957626,8.067557869790884,20.188921710976484,1.565446686359919,6.248435387773494,4.8665698693235875,0.707621956307682,3.0374338690565597
"0104","Ain","04","4ème circonscription",94359,19826,21.01124429042275,74533,78.98875570957725,1300,1.3777170169247237,1.7441938470207827,473,0.5012770376964572,0.6346182228006386,72760,77.10976165495607,97.62118793017858,376,1209,20867,2205,20991,6136,10174,1219,3109,4009,445,2020,0.3984781525874585,1.281276825739993,22.114477686283237,2.3368200171684737,22.245890694051443,6.502824319884695,10.78222533091703,1.2918746489471062,3.2948632350915124,4.248667323731706,0.47160313271654003,2.140760287836878,0.5167674546454096,1.6616272677295219,28.67921935129192,3.030511269928532,28.849642660802637,8.433205057724024,13.982957669048929,1.6753710830126445,4.272952171522815,5.509895547003849,0.6115997800989554,2.7762506871907644
"0105","Ain","05","5ème circonscription",77144,18766,24.32593591206056,58378,75.67406408793944,970,1.25738877942549,1.6615848436054677,394,0.5107331743233434,0.674911781835623,57014,73.90594213419061,97.66350337455891,336,1219,12967,2364,15622,4864,11590,917,2265,2949,399,1522,0.43554910297625216,1.5801617753811055,16.808825054443638,3.06439904594006,20.250440734211345,6.305091776418127,15.023851498496319,1.188686093539355,2.9360676138131288,3.8227211448719283,0.5172145597842995,1.9729337343150473,0.5893289367523766,2.138071350896271,22.743536675202584,4.146350019293507,27.400287648647705,8.531237941558214,20.32834040761918,1.6083768898866944,3.972708457571825,5.172413793103448,0.6998281123934472,2.6695197670747532
"0201","Aisne","01","1ère circonscription",72206,18597,25.7554773841509,53609,74.24452261584909,740,1.0248455806996648,1.3803652371803243,407,0.5636650693848156,0.7592008804491783,52462,72.65601196576462,97.8604338823705,410,1133,11629,1302,20990,3411,7624,620,1733,2018,453,1139,0.5678198487660305,1.5691216796388112,16.105309808049192,1.8031742514472482,29.06960640389995,4.723984156441293,10.558679334127358,0.8586544054510705,2.400077555881783,2.7947815970971943,0.6273716865634436,1.5774312384012408,0.7815180511608403,2.159658419427395,22.166520529144904,2.481796347832717,40.009911936258625,6.501848957340552,14.532423468415235,1.1818077846822463,3.3033433723456977,3.8465937249818913,0.8634821394533186,2.171095268956578
"0202","Aisne","02","2ème circonscription",73111,20530,28.08058978813038,52581,71.91941021186963,772,1.0559286564265296,1.4682109507236454,403,0.5512166431863879,0.766436545520245,51406,70.31226491225671,97.7653525037561,372,1148,12210,1086,18547,3828,8515,577,1306,2468,382,967,0.508815362941281,1.570215152302663,16.70063328363721,1.4854125918124497,25.368275635677257,5.235874218653827,11.646674235067227,0.7892109258524708,1.7863249032293365,3.3756890208039834,0.5224931952784123,1.322646387000588,0.7236509356884411,2.233202349920243,23.752091195580284,2.112593860638836,36.079445979068595,7.4466015640197645,16.564214294051276,1.1224370696027701,2.5405594677664083,4.800995992685679,0.7431039178306035,1.8811033731471034
"0203","Aisne","03","3ème circonscription",66580,17358,26.07089215980775,49222,73.92910784019226,699,1.0498648242715531,1.420096704725529,398,0.5977771102433164,0.8085815285847792,48125,72.28146590567738,97.7713217666897,358,1005,9958,1364,21462,3078,6127,597,849,1862,376,1089,0.5376990087113247,1.5094623009912886,14.956443376389306,2.0486632622409133,32.234905376990085,4.623009912886753,9.20246320216281,0.8966656653649745,1.2751577050165215,2.7966356263142087,0.564734154400721,1.635626314208471,0.7438961038961039,2.088311688311688,20.691948051948053,2.834285714285714,44.596363636363634,6.3958441558441566,12.731428571428571,1.2405194805194804,1.764155844155844,3.8690909090909087,0.7812987012987013,2.262857142857143
"0204","Aisne","04","4ème circonscription",78699,22961,29.17572014892184,55738,70.82427985107816,694,0.8818409382584276,1.2451110552944131,410,0.5209723122276013,0.7355843410240769,54634,69.42146660059213,98.01930460368152,397,1350,11986,1116,21251,3799,9209,612,1404,1969,414,1127,0.5044536779374579,1.7153966378225898,15.230180815512268,1.4180612206000076,27.002884407679893,4.8272532052503845,11.701546398302392,0.7776464758129074,1.7840125033354934,2.5019377628686517,0.5260549689322609,1.4320385265378215,0.7266537321082109,2.47098876157704,21.93871947871289,2.0426840429036863,38.89702383131383,6.953545411282351,16.85580407804664,1.1201815719149248,2.5698283120401215,3.603982867811253,0.7577698868836256,2.0628180254054254
"0205","Aisne","05","5ème circonscription",82948,21643,26.092250566620052,61305,73.90774943337995,875,1.054877754737908,1.427289780605171,480,0.5786757968847953,0.7829703939319794,59950,72.27419588175724,97.78973982546285,507,1349,13078,1621,22427,4190,9796,587,1792,2619,502,1482,0.611226310459565,1.6263201041616433,15.766504315956986,1.9542363890630274,27.03742103486522,5.051357476973525,11.809808554757199,0.7076722766070309,2.1603896417032358,3.1573998167526645,0.6051984375753484,1.7866615228818055,0.8457047539616347,2.250208507089241,21.814845704753964,2.7039199332777315,37.409507923269395,6.9891576313594665,16.340283569641368,0.9791492910758965,2.9891576313594665,4.368640533778149,0.8373644703919934,2.4720600500417014
